Bransch;Region;År;Värde;Hex;RGB
fastighetsverksamhet;Hedemora;2014;134;#ec9eed;rgb(236, 158, 237)
företagstjänster;Hedemora;2014;391;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Hedemora;2014;141;#fcac34;rgb(252, 172, 52)
utbildning ;Hedemora;2014;614;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Hedemora;2014;1590;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Hedemora;2014;194;#FF8080;rgb(255, 128, 128)
okänt;Hedemora;2014;90;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Säter;2014;266;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Säter;2014;344;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Säter;2014;22;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Säter;2014;326;#eb12c8;rgb(235, 18, 200)
handel;Säter;2014;236;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Säter;2014;135;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Säter;2014;52;#faff01;rgb(250, 255, 1)
information och kommunikation;Säter;2014;16;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Säter;2014;12;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Säter;2014;46;#ec9eed;rgb(236, 158, 237)
företagstjänster;Säter;2014;202;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Säter;2014;117;#fcac34;rgb(252, 172, 52)
utbildning ;Säter;2014;447;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Säter;2014;1103;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Säter;2014;171;#FF8080;rgb(255, 128, 128)
okänt;Säter;2014;62;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Borlänge;2014;379;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Borlänge;2014;3854;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Borlänge;2014;359;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Borlänge;2014;2107;#eb12c8;rgb(235, 18, 200)
handel;Borlänge;2014;3829;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Borlänge;2014;1657;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Borlänge;2014;869;#faff01;rgb(250, 255, 1)
information och kommunikation;Borlänge;2014;780;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Borlänge;2014;133;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Borlänge;2014;369;#ec9eed;rgb(236, 158, 237)
företagstjänster;Borlänge;2014;2574;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Borlänge;2014;2699;#fcac34;rgb(252, 172, 52)
utbildning ;Borlänge;2014;2503;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Borlänge;2014;3712;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Borlänge;2014;934;#FF8080;rgb(255, 128, 128)
okänt;Borlänge;2014;646;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Falun;2014;672;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Falun;2014;2544;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Falun;2014;220;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Falun;2014;1666;#eb12c8;rgb(235, 18, 200)
handel;Falun;2014;2423;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Falun;2014;686;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Falun;2014;639;#faff01;rgb(250, 255, 1)
information och kommunikation;Falun;2014;562;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Falun;2014;392;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Falun;2014;479;#ec9eed;rgb(236, 158, 237)
företagstjänster;Falun;2014;3032;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Falun;2014;2397;#fcac34;rgb(252, 172, 52)
utbildning ;Falun;2014;3017;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Falun;2014;7232;#f5370d;rgb(245, 55, 13)
